user_id,Song_Id,songrating
b80344d063b5ccb3212f76538f3d9e43d87dca9e,6479,2
b80344d063b5ccb3212f76538f3d9e43d87dca9e,3305,5
b80344d063b5ccb3212f76538f3d9e43d87dca9e,5680,3
b80344d063b5ccb3212f76538f3d9e43d87dca9e,3451,4
b80344d063b5ccb3212f76538f3d9e43d87dca9e,993,5
b80344d063b5ccb3212f76538f3d9e43d87dca9e,2861,5
b80344d063b5ccb3212f76538f3d9e43d87dca9e,4480,2
b80344d063b5ccb3212f76538f3d9e43d87dca9e,2314,1
b80344d063b5ccb3212f76538f3d9e43d87dca9e,3407,3
b80344d063b5ccb3212f76538f3d9e43d87dca9e,5006,3
85c1f87fea955d09b4bec2e36aee110927aedf9a,1123,1
bd4c6e843f00bd476847fb75c47b4fb430a06856,8145,4
bd4c6e843f00bd476847fb75c47b4fb430a06856,8400,5
bd4c6e843f00bd476847fb75c47b4fb430a06856,5601,2
bd4c6e843f00bd476847fb75c47b4fb430a06856,5923,5
bd4c6e843f00bd476847fb75c47b4fb430a06856,4919,2
bd4c6e843f00bd476847fb75c47b4fb430a06856,7470,3
bd4c6e843f00bd476847fb75c47b4fb430a06856,5591,5
bd4c6e843f00bd476847fb75c47b4fb430a06856,4193,1
8937134734f869debcab8f23d77465b4caaa85df,7276,3
8937134734f869debcab8f23d77465b4caaa85df,2509,3
969cc6fb74e076a68e36a04409cb9d3765757508,8811,3
969cc6fb74e076a68e36a04409cb9d3765757508,7921,5
969cc6fb74e076a68e36a04409cb9d3765757508,7797,2
969cc6fb74e076a68e36a04409cb9d3765757508,3702,2
969cc6fb74e076a68e36a04409cb9d3765757508,7851,5
969cc6fb74e076a68e36a04409cb9d3765757508,7893,3
969cc6fb74e076a68e36a04409cb9d3765757508,5400,1
969cc6fb74e076a68e36a04409cb9d3765757508,9360,2
969cc6fb74e076a68e36a04409cb9d3765757508,4154,2
969cc6fb74e076a68e36a04409cb9d3765757508,3875,4
969cc6fb74e076a68e36a04409cb9d3765757508,5476,5
969cc6fb74e076a68e36a04409cb9d3765757508,4432,2
969cc6fb74e076a68e36a04409cb9d3765757508,9293,1
969cc6fb74e076a68e36a04409cb9d3765757508,9431,2
969cc6fb74e076a68e36a04409cb9d3765757508,4989,1
969cc6fb74e076a68e36a04409cb9d3765757508,1222,3
969cc6fb74e076a68e36a04409cb9d3765757508,9403,5
e006b1a48f466bf59feefed32bec6494495a4436,4458,5
e006b1a48f466bf59feefed32bec6494495a4436,3298,4
e006b1a48f466bf59feefed32bec6494495a4436,9678,5
e006b1a48f466bf59feefed32bec6494495a4436,3459,2
e006b1a48f466bf59feefed32bec6494495a4436,751,3
e006b1a48f466bf59feefed32bec6494495a4436,374,1
e006b1a48f466bf59feefed32bec6494495a4436,275,5
e006b1a48f466bf59feefed32bec6494495a4436,1058,3
9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,1131,5
