user_id,listen_count,song_id,songrating
b80344d063b5ccb3212f76538f3d9e43d87dca9e,1,a054P00000uaFwH,2
b80344d063b5ccb3212f76538f3d9e43d87dca9e,2,a054P00000uaFvh,5
b80344d063b5ccb3212f76538f3d9e43d87dca9e,1,a054P00000uaFxF,3
b80344d063b5ccb3212f76538f3d9e43d87dca9e,1,a054P00000uaFyr,4
b80344d063b5ccb3212f76538f3d9e43d87dca9e,1,a054P00000uaFva,5
b80344d063b5ccb3212f76538f3d9e43d87dca9e,5,a054P00000uaFvJ,5
b80344d063b5ccb3212f76538f3d9e43d87dca9e,1,a054P00000uaFve,2
b80344d063b5ccb3212f76538f3d9e43d87dca9e,1,a054P00000uaFvq,1
b80344d063b5ccb3212f76538f3d9e43d87dca9e,1,a054P00000uaFym,3
b80344d063b5ccb3212f76538f3d9e43d87dca9e,1,a054P00000uaFvq,3
bd4c6e843f00bd476847fb75c47b4fb430a06856,1,a054P00000uaFvh,4
bd4c6e843f00bd476847fb75c47b4fb430a06856,1,a054P00000uaFx7,5
bd4c6e843f00bd476847fb75c47b4fb430a06856,1,a054P00000uaFxo,2
bd4c6e843f00bd476847fb75c47b4fb430a06856,1,a054P00000uaFwj,5
bd4c6e843f00bd476847fb75c47b4fb430a06856,2,a054P00000uaFyY,2
bd4c6e843f00bd476847fb75c47b4fb430a06856,1,a054P00000uaFwh,3
bd4c6e843f00bd476847fb75c47b4fb430a06856,1,a054P00000uaFyJ,5
bd4c6e843f00bd476847fb75c47b4fb430a06856,1,a054P00000uaFvb,1
8937134734f869debcab8f23d77465b4caaa85df,5,a054P00000uaFvg,3
8937134734f869debcab8f23d77465b4caaa85df,5,a054P00000uaFxq,3
969cc6fb74e076a68e36a04409cb9d3765757508,2,a054P00000uaFwL,3
969cc6fb74e076a68e36a04409cb9d3765757508,1,a054P00000uaFwg,5
969cc6fb74e076a68e36a04409cb9d3765757508,9,a054P00000uaFyS,2
969cc6fb74e076a68e36a04409cb9d3765757508,2,a054P00000uaFyY,2
969cc6fb74e076a68e36a04409cb9d3765757508,2,a054P00000uaFvd,5
969cc6fb74e076a68e36a04409cb9d3765757508,1,a054P00000uaFyw,3
969cc6fb74e076a68e36a04409cb9d3765757508,1,a054P00000uaFxW,1
969cc6fb74e076a68e36a04409cb9d3765757508,6,a054P00000uaFvm,2
969cc6fb74e076a68e36a04409cb9d3765757508,2,a054P00000uaFvh,2
969cc6fb74e076a68e36a04409cb9d3765757508,1,a054P00000uaFvZ,4
969cc6fb74e076a68e36a04409cb9d3765757508,10,a054P00000uaFvU,5
969cc6fb74e076a68e36a04409cb9d3765757508,1,a054P00000uaFvK,2
969cc6fb74e076a68e36a04409cb9d3765757508,1,a054P00000uaFwM,1
969cc6fb74e076a68e36a04409cb9d3765757508,9,a054P00000uaFxm,2
969cc6fb74e076a68e36a04409cb9d3765757508,1,a054P00000uaFxs,1
969cc6fb74e076a68e36a04409cb9d3765757508,1,a054P00000uaFyK,3
969cc6fb74e076a68e36a04409cb9d3765757508,1,a054P00000uaFwu,5
e006b1a48f466bf59feefed32bec6494495a4436,2,a054P00000uaFyg,5
e006b1a48f466bf59feefed32bec6494495a4436,2,a054P00000uaFvR,4
e006b1a48f466bf59feefed32bec6494495a4436,1,a054P00000uaFwM,5
e006b1a48f466bf59feefed32bec6494495a4436,2,a054P00000uaFvg,2
e006b1a48f466bf59feefed32bec6494495a4436,2,a054P00000uaFxGQAU,3
e006b1a48f466bf59feefed32bec6494495a4436,3,a054P00000uaFvr,1
e006b1a48f466bf59feefed32bec6494495a4436,3,a054P00000uaFxK,5
e006b1a48f466bf59feefed32bec6494495a4436,11,a054P00000uaFw9QAE,3
9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,2,a054P00000uaFxS,5
9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,2,a054P00000uaFvV,5
9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,2,a054P00000uaFvs,2
9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,2,a054P00000uaFyZQAU,3
9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,3,a054P00000uaFyQ,1
9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,2,a054P00000uaFwQ,4
9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,1,a054P00000uaFz6,5
b64cdd1a0bd907e5e00b39e345194768e330d652,3,a054P00000uaFwN,3
b64cdd1a0bd907e5e00b39e345194768e330d652,1,a054P00000uaFy3,2
b64cdd1a0bd907e5e00b39e345194768e330d652,3,a054P00000uaFy7QAE,5
b64cdd1a0bd907e5e00b39e345194768e330d652,1,a054P00000uaFx0,4
b64cdd1a0bd907e5e00b39e345194768e330d652,1,a054P00000uaFyb,2
b64cdd1a0bd907e5e00b39e345194768e330d652,1,a054P00000uaFwi,1
b64cdd1a0bd907e5e00b39e345194768e330d652,1,a054P00000uaFxP,5
b64cdd1a0bd907e5e00b39e345194768e330d652,1,a054P00000uaFxK,5
b64cdd1a0bd907e5e00b39e345194768e330d652,2,a054P00000uaFvq,4
